"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"13064","rjthe2mj3w3hcwmr2jwcea2ixxibfky2zx6mlxjzk73nfla33s72bqad.onion:8333","70016","/Satoshi:23.0.0(RoninDojo 1.18.1)/","1685083324","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13065","j5vqzahjfjsjruzmczyify2talaghw6f23lauvcnkxg2c3tpyfku3yqd.onion:8333","70016","/Satoshi:24.0.1/","1684504818","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13066","159.65.99.102:8333","70015","/Satoshi:0.17.1/","1684334300","1036","791556","159.65.99.102","Santa Clara","US",37.3417,-121.9753,"America/Los_Angeles","AS14061","DIGITALOCEAN-ASN"
"13067","r4vdt64ww5smcz4iwnz4yjeaafb3ihyhd4irrvgsx6iowkqqoo5w7yid.onion:8333","70016","/Satoshi:23.0.0/","1684710152","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13068","ppz6fz57gpeg2xafelurrzu6dbuekextc4sttjthkpujndr326ouclid.onion:8333","70016","/Satoshi:23.0.0/","1684836025","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13069","mtjogxhcgjk4sbezhia6t7amcqazxmrakcjqw32px6tillgqzmgp3xid.onion:8333","70016","/Satoshi:23.0.0/","1685106473","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13070","[2001:41d0:2:b272::1]:8333","70016","/Satoshi:23.0.0/","1684328019","1033","791556","2001:41d0:2:b272::1",NA,"FR",48.8582,2.3387,"Europe/Paris","AS16276","OVH SAS"
"13071","t3knwe6h4rrkbumb2foe4qszqf3prw7dqkm2i6zuyzbke7qin3ysjkid.onion:8333","70016","/Satoshi:22.0.0/","1685144957","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13072","137.118.214.52:8333","70016","/Satoshi:22.0.0/","1685147787","1032","791556","137-118-214-52.wilkes.net","Roaring River","US",36.1927,-81.0009,"America/New_York","AS22191","WILKES-COMM"
"13073","165.228.174.117:8333","70016","/Satoshi:22.0.0/","1685135939","1033","791556","roadho1.lnk.telstra.net","Sydney","AU",-33.8715,151.2006,"Australia/Sydney","AS1221","Telstra Corporation Ltd"
"13074","51.15.160.41:8333","70016","/Satoshi:22.0.0/","1685144053","1033","791556","51-15-160-41.rev.poneytelecom.eu",NA,"FR",48.8582,2.3387,"Europe/Paris","AS12876","Online S.a.s."
"13075","yoab7wmrpby52t52lss6m3my2oaavpjvrmdd6livb6gdv7dyg3vnrhid.onion:8333","70016","/Satoshi:23.0.0/","1685108216","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13076","62.42.75.105:8333","70016","/Satoshi:24.0.1/","1684664455","1101","791556","62.42.75.105.dyn.user.ono.com","Castro Urdiales","ES",43.3798,-3.2101,"Europe/Madrid","AS6739","Vodafone Ono, S.A."
