"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"2320","185.194.93.135:8333","70016","/Satoshi:0.21.0/","1687727967","1033","795932","cpps.circl.lu",NA,"LU",49.7498,6.1661,"Europe/Luxembourg","AS197869","Luxembourg House of Cybersecurity"
"2321","d364qp3gqy5m6a2vuj3xqnxcn4vi3us755vsb37vyhnvc2rszxea3had.onion:8333","70016","/Satoshi:25.0.0/","1687724826","1101","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2322","45.154.252.162:8333","70016","/Satoshi:25.0.0/","1687592866","1033","795932","45.154.252.162",NA,"GB",51.4964,-0.1224,"Europe/London","AS41281","KeFF Networks Ltd"
"2323","gruccg4k5yq7wnkytjqndfbhc4pbdfiwuzlbsjwyjwzg3nfitb273lad.onion:8333","70016","/Satoshi:22.0.0/","1687732560","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2324","142.132.208.253:8333","70016","/Satoshi:22.0.0/","1687733029","1033","795932","static.253.208.132.142.clients.your-server.de",NA,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH"
"2325","50.53.250.162:8333","70015","/Satoshi:0.17.1/","1687611753","1037","795931","50.53.250.162","Beaverton","US",45.4501,-122.868,"America/Los_Angeles","AS20055","AS-WHOLESAIL"
"2326","z66lauf6ljnwwmbfky5bi4sa6affd6dnbgzptl25iolow62r6ysor7ad.onion:8333","70016","/Satoshi:24.0.1/","1687732103","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2327","18.232.118.33:8333","70016","/Satoshi:24.1.0/","1687352945","1033","795932","ec2-18-232-118-33.compute-1.amazonaws.com","Ashburn","US",39.0469,-77.4903,"America/New_York","AS14618","AMAZON-AES"
"2328","qvigdni7bh22ek3xj4d7o27q6blpxtmj37uyi3ukiluy3yfabfatjbad.onion:8333","70016","/Satoshi:24.0.1/","1687715347","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2329","242gx36xy2npw7dmcfuhxvfj3gxyddb4s64p5xed7bzxxmmoi3y2jlqd.onion:8333","70016","/Satoshi:23.0.0/","1687592875","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2330","c3ylsae2gey23qz64a2kulfjld23tat57ddsasq4lbd3ud66zfp7vdqd.onion:8333","70016","/Satoshi:23.0.0/","1687463300","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2331","77lcaeaisz4eup2bjjkjgav6npm44bjbykrzykkdpu3thwu3ranl7uqd.onion:8333","70016","/Satoshi:22.0.0/","1687734432","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2332","54.243.100.79:8333","70016","/Satoshi:22.0.0/","1687700367","1033","795932","ec2-54-243-100-79.compute-1.amazonaws.com","Ashburn","US",39.0469,-77.4903,"America/New_York","AS14618","AMAZON-AES"
"2333","82.66.220.115:8333","70016","/Satoshi:22.0.0/","1687726595","1033","795932","bny93-2_migr-82-66-220-115.fbx.proxad.net",NA,"FR",48.8582,2.3387,"Europe/Paris","AS12322","Free SAS"
"2334","[2a02:180:1:1::517:10b6]:8333","70016","/Satoshi:24.0.0/","1687729351","1101","795930","2a02:180:1:1::517:10b6",NA,"DE",51.2993,9.491,"Europe/Berlin","AS35366","ISPpro Internet KG"
"2335","85.105.17.116:8333","70016","/Satoshi:22.1.0/","1687737720","1032","795931","85.105.17.116.static.ttnet.com.tr","Istanbul","TR",41.0479,28.9773,"Europe/Istanbul","AS47331","Turk Telekom"
"2336","n4jn6ib2gdc3jvifdi2xudwclhkhw5lvgtloi5ku4t7zol2skvtd2fqd.onion:8333","70016","/Satoshi:0.21.1/","1685578950","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2337","80.108.116.121:8333","70016","/Satoshi:24.0.1/","1685473636","1033","795932","80-108-116-121.cable.dynamic.surfer.at","Bregenz","AT",47.5065,9.7437,"Europe/Vienna","AS8412","T-Mobile Austria GmbH"
"2338","jn7vpoz2zpdk7o2l537w5oxhyqrvnlmqo2zrnsfbaaheyfvxzypuydad.onion:8333","70016","/Satoshi:24.0.1/","1687591981","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2339","amoui6gnyrhjyejmt73gmfvbb3cqhuuwzwgophfrlhms4kitznwqtuid.onion:8333","70016","/Satoshi:24.0.1/","1687426652","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2340","185.216.178.92:8333","70016","/Satoshi:25.0.0/","1685561844","1032","795932","nextcloud.ebenbeck.org",NA,"AT",48.2048,16.3801,"Europe/Vienna","AS197540","netcup GmbH"
"2341","85.70.179.198:8333","70016","/Satoshi:22.0.0/","1687736770","1033","795932","x2.martintomasek.eu","Prague","CZ",50.0883,14.4124,"Europe/Prague","AS5610","O2 Czech Republic, a.s."
"2342","djth7ngwl7mx4bxbtwb5lhdh7fbmmfbgmoiv7uscuhtixn4dil3j7mqd.onion:8333","70016","/Satoshi:24.0.1/","1687674592","1101","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2343","qdzqjp3dawgooypfk2rsk2xnat3f5frrscfidme2xyoymvxeruvqshad.onion:8333","70016","/Satoshi:24.0.1/","1687380235","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2344","hkugs5suzdr7z5uih6jgnfqstuib2rz2xub62ajogn6yaguwhxta3xid.onion:8333","70016","/Satoshi:24.0.1/","1687687993","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2345","65.21.206.208:8333","70016","/Satoshi:22.0.0/","1687724802","1033","795932","static.208.206.21.65.clients.your-server.de","Helsinki","FI",60.1719,24.9347,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"2346","r6u355esi5pi6a4okliwwkidtuclt5c3yyd5fvkti6tp5ivogj2fmeyd.onion:8333","70016","/Satoshi:25.0.0/","1687666202","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2347","bccpkmrx7hehfa25jtpklmtrubi2y2l2lpfdjf3laezzywfvijijilqd.onion:8333","70016","/Satoshi:23.0.0/","1686869236","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2348","wf36bnbw2ow3353ctraihsfjo6ko7qa3lvrweybpvgl7tp6sawx2jgid.onion:8333","70016","/Satoshi:24.0.1/","1687633394","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2349","111.90.140.207:8333","70015","/Satoshi:0.19.0.1/","1687611753","1033","795932","apinae.boatorcent.org.uk",NA,"MY",2.5,112.5,"Asia/Kuching","AS45839","Shinjiru Technology Sdn Bhd"
"2350","vmfpubzzhvkihronmsnnfby3nohryhhnfsw23nmistw6yv5mnapwrgyd.onion:8333","70016","/Satoshi:24.0.0/","1687224751","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2351","rlsd5m6235jl5dhcqmyxvctel2gk6lc2taa6g3p2ptsfm4hszzrh5pyd.onion:8333","70016","/Satoshi:23.1.0/","1687555874","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2352","y2nr4lbpfgaohqfz7r5rtd3egidso2sfowxj7y7e4xj2asnei62chkad.onion:8333","70016","/Satoshi:24.0.1/","1687694454","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2353","oj5sgz5ezicf3jsvdb3dxrffyq5o3upwlizkzjpzquo7ohywx5h7dmid.onion:8333","70016","/Satoshi:24.0.1/","1687723901","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
